Mice,Location,Cheese for Mouse Finder,Cheese,Charm for Mouse Finder,Charm,Base for Mouse Finder,Base,AR,HT,,For Map Planner,
Toxic Warrior,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Not Rotten/Super Rotten,,,,14.01%,29,Toxic Warrior,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue    ,14.01%
Sludge Swimmer,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Not Rotten/Super Rotten,,,,8.21%,17,Sludge Swimmer,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue    ,8.21%
The Menace,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Not Rotten/Super Rotten,,,,5.80%,12,The Menace,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue    ,5.80%
Mutated Behemoth,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Not Rotten/Super Rotten,,,,9.66%,20,Mutated Behemoth,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue    ,9.66%
Slimefist,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Rotten,Rotten,,,11.23%,250,Slimefist,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Rotten  ,11.23%
Telekinetic Mutant,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Rotten,Rotten,,,10.42%,232,Telekinetic Mutant,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Rotten  ,10.42%
Mutant Mongrel,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Rotten,Rotten,,,10.37%,231,Mutant Mongrel,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Rotten  ,10.37%
Outbreak Assassin,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Rotten,Rotten,,,10.33%,230,Outbreak Assassin,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Rotten  ,10.33%
Toxic Warrior,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Rotten,Rotten,,,9.97%,222,Toxic Warrior,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Rotten  ,9.97%
Sludge Swimmer,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Rotten,Rotten,,,7.90%,176,Sludge Swimmer,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Rotten  ,7.90%
Mutated Behemoth,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Rotten,Rotten,,,6.60%,147,Mutated Behemoth,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Rotten  ,6.60%
Mutant Ninja,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Rotten,Rotten,,,5.84%,130,Mutant Ninja,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Rotten  ,5.84%
Sludge Soaker,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Rotten,Rotten,,,5.57%,124,Sludge Soaker,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Rotten  ,5.57%
Biohazard,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Rotten,Rotten,,,5.34%,119,Biohazard,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Rotten  ,5.34%
Tentacle,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Rotten,Rotten,,,5.30%,118,Tentacle,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Rotten  ,5.30%
Plague Hag,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Rotten,Rotten,,,4.89%,109,Plague Hag,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Rotten  ,4.89%
The Menace,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Rotten,Rotten,,,4.45%,99,The Menace,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Rotten  ,4.45%
Scrap Metal Monster,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Rotten,Rotten,,,1.80%,40,Scrap Metal Monster,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Rotten  ,1.80%
Slimefist,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Super Rotten,Super Rotten,,,11.23%,250,Slimefist,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Super Rotten  ,11.23%
Telekinetic Mutant,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Super Rotten,Super Rotten,,,10.42%,232,Telekinetic Mutant,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Super Rotten  ,10.42%
Mutant Mongrel,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Super Rotten,Super Rotten,,,10.37%,231,Mutant Mongrel,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Super Rotten  ,10.37%
Outbreak Assassin,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Super Rotten,Super Rotten,,,10.33%,230,Outbreak Assassin,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Super Rotten  ,10.33%
Toxic Warrior,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Super Rotten,Super Rotten,,,9.97%,222,Toxic Warrior,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Super Rotten  ,9.97%
Sludge Swimmer,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Super Rotten,Super Rotten,,,7.90%,176,Sludge Swimmer,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Super Rotten  ,7.90%
Mutated Behemoth,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Super Rotten,Super Rotten,,,6.60%,147,Mutated Behemoth,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Super Rotten  ,6.60%
Mutant Ninja,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Super Rotten,Super Rotten,,,5.84%,130,Mutant Ninja,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Super Rotten  ,5.84%
Sludge Soaker,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Super Rotten,Super Rotten,,,5.57%,124,Sludge Soaker,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Super Rotten  ,5.57%
Biohazard,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Super Rotten,Super Rotten,,,5.34%,119,Biohazard,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Super Rotten  ,5.34%
Tentacle,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Super Rotten,Super Rotten,,,5.30%,118,Tentacle,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Super Rotten  ,5.30%
Plague Hag,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Super Rotten,Super Rotten,,,4.89%,109,Plague Hag,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Super Rotten  ,4.89%
The Menace,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Super Rotten,Super Rotten,,,4.45%,99,The Menace,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Super Rotten  ,4.45%
Scrap Metal Monster,Toxic Spill - Archduke/Archduchess,Rancid Radioactive Blue,Rancid Radioactive Blue,Super Rotten,Super Rotten,,,1.80%,40,Scrap Metal Monster,Toxic Spill - Archduke/Archduchess  Rancid Radioactive Blue  Super Rotten  ,1.80%
Archer,Training Grounds,Gouda/Brie,,,,,,26.72%,4034,Archer,Training Grounds      ,26.72%
White,Training Grounds,Gouda/Brie,,,,,,12.55%,1895,White,Training Grounds      ,12.55%
Dwarf,Training Grounds,Gouda/Brie,,,,,,12.55%,1895,Dwarf,Training Grounds      ,12.55%
Monk,Training Grounds,Gouda/Brie,,,,,,10.68%,1612,Monk,Training Grounds      ,10.68%
Kung Fu,Training Grounds,Gouda/Brie,,,,,,10.86%,1640,Kung Fu,Training Grounds      ,10.86%
Ninja,Training Grounds,Gouda/Brie,,,,,,8.68%,1310,Ninja,Training Grounds      ,8.68%
Samurai,Training Grounds,Gouda/Brie,,,,,,6.35%,958,Samurai,Training Grounds      ,6.35%
Diamond,Training Grounds,Gouda/Brie,,,,,,5.35%,808,Diamond,Training Grounds      ,5.35%
Gold,Training Grounds,Gouda/Brie,,,,,,5.76%,869,Gold,Training Grounds      ,5.76%
Hope,Training Grounds,Gouda/Brie,,,,,,0.50%,75,Hope,Training Grounds      ,0.50%
Archer,Training Grounds,SB+,SB+,,,,,30.92%,9600,Archer,Training Grounds  SB+    ,30.92%
Kung Fu,Training Grounds,SB+,SB+,,,,,12.53%,3891,Kung Fu,Training Grounds  SB+    ,12.53%
Monk,Training Grounds,SB+,SB+,,,,,12.57%,3902,Monk,Training Grounds  SB+    ,12.57%
Ninja,Training Grounds,SB+,SB+,,,,,10.13%,3145,Ninja,Training Grounds  SB+    ,10.13%
Samurai,Training Grounds,SB+,SB+,,,,,7.41%,2301,Samurai,Training Grounds  SB+    ,7.41%
Gold,Training Grounds,SB+,SB+,,,,,6.25%,1940,Gold,Training Grounds  SB+    ,6.25%
Diamond,Training Grounds,SB+,SB+,,,,,6.40%,1987,Diamond,Training Grounds  SB+    ,6.40%
Worker,Training Grounds,SB+,SB+,,,,,4.48%,1390,Worker,Training Grounds  SB+    ,4.48%
Dwarf,Training Grounds,SB+,SB+,,,,,3.67%,1138,Dwarf,Training Grounds  SB+    ,3.67%
Dumpling Chef,Training Grounds,SB+,SB+,,,,,3.19%,992,Dumpling Chef,Training Grounds  SB+    ,3.19%
Nibbler,Training Grounds,SB+,SB+,,,,,1.19%,370,Nibbler,Training Grounds  SB+    ,1.19%
Hope,Training Grounds,SB+,SB+,,,,,0.64%,199,Hope,Training Grounds  SB+    ,0.64%
Black Widow,Training Grounds,SB+,SB+,,,,,0.62%,194,Black Widow,Training Grounds  SB+    ,0.62%
Barkshell,Twisted Garden (Duskshade/Poured),Duskshade,,,,,,18.11%,64570,Barkshell,Twisted Garden  Duskshade,18.11%
Camofusion,Twisted Garden (Duskshade/Poured),Duskshade,,,,,,13.58%,48421,Camofusion,Twisted Garden  Duskshade,13.58%
Dehydrated,Twisted Garden (Duskshade/Poured),Duskshade,,,,,,9.74%,34746,Dehydrated,Twisted Garden  Duskshade,9.74%
Fungal Spore,Twisted Garden (Duskshade/Poured),Duskshade,,,,,,13.57%,48392,Fungal Spore,Twisted Garden  Duskshade,13.57%
Thorn,Twisted Garden (Duskshade/Poured),Duskshade,,,,,,18.06%,64418,Thorn,Twisted Garden  Duskshade,18.06%
Twisted Hotcakes,Twisted Garden (Duskshade/Poured),Duskshade,,,,,,8.94%,31893,Twisted Hotcakes,Twisted Garden  Duskshade,8.94%
Twisted Lilly,Twisted Garden (Duskshade/Poured),Duskshade,,,,,,17.99%,64154,Twisted Lilly,Twisted Garden  Duskshade,17.99%
Barkshell,Twisted Garden (Duskshade/Not Poured),Duskshade,,,,,,19.99%,141937,Barkshell,,19.99%
Camofusion,Twisted Garden (Duskshade/Not Poured),Duskshade,,,,,,15.07%,107021,Camofusion,,15.07%
Fungal Spore,Twisted Garden (Duskshade/Not Poured),Duskshade,,,,,,14.98%,106354,Fungal Spore,,14.98%
Thorn,Twisted Garden (Duskshade/Not Poured),Duskshade,,,,,,19.90%,141295,Thorn,,19.90%
Twisted Hotcakes,Twisted Garden (Duskshade/Not Poured),Duskshade,,,,,,10.07%,71478,Twisted Hotcakes,,10.07%
Twisted Lilly,Twisted Garden (Duskshade/Not Poured),Duskshade,,,,,,19.99%,141937,Twisted Lilly,,19.99%
Camofusion,Twisted Garden (Lunaria/Poured),Lunaria,,Not Shattering,,,,35.61%,35713,Camofusion,Twisted Garden Lunaria,35.61%
Fungal Spore,Twisted Garden (Lunaria/Poured),Lunaria,,Not Shattering,,,,35.68%,35776,Fungal Spore,Twisted Garden Lunaria,35.68%
Twisted Carmine,Twisted Garden (Lunaria/Poured),Lunaria,,Not Shattering,,,,28.71%,28789,Twisted Carmine,Twisted Garden Lunaria,28.71%
Camofusion,Twisted Garden (Lunaria/Not Poured),Lunaria,,Not Shattering,,,,35.25%,11612,Camofusion,,35.25%
Fungal Spore,Twisted Garden (Lunaria/Not Poured),Lunaria,,Not Shattering,,,,34.87%,11488,Fungal Spore,,34.87%
Twisted Carmine,Twisted Garden (Lunaria/Not Poured),Lunaria,,Not Shattering,,,,29.87%,9841,Twisted Carmine,,29.87%
Camofusion,Twisted Garden (Lunaria/Poured),Lunaria,,Shattering,Shattering,,,35.76%,1927,Camofusion,,35.76%
Fungal Spore,Twisted Garden (Lunaria/Poured),Lunaria,,Shattering,Shattering,,,34.74%,1872,Fungal Spore,,34.74%
Shattered Carmine,Twisted Garden (Lunaria/Poured),Lunaria,,Shattering,Shattering,,,29.50%,1590,Shattered Carmine,Twisted Garden (Lunaria/Poured)    Shattering  ,29.50%
Twisted Carmine,Twisted Garden (Lunaria/Poured),Lunaria,,Shattering,Shattering,,,0.00%,0,,,
Camofusion,Twisted Garden (Lunaria/Not Poured),Lunaria,,Shattering,Shattering,,,31.53%,308,Camofusion,,31.53%
Fungal Spore,Twisted Garden (Lunaria/Not Poured),Lunaria,,Shattering,Shattering,,,36.64%,358,Fungal Spore,,36.64%
Shattered Carmine,Twisted Garden (Lunaria/Not Poured),Lunaria,,Shattering,Shattering,,,31.83%,311,Shattered Carmine,,31.83%
Twisted Carmine,Twisted Garden (Lunaria/Not Poured),Lunaria,,Shattering,Shattering,,,0.00%,0,,,
Bloomed Sylvan,Whisker Woods Rift,Magical String,Magical String,,,,,6.13%,23872,Bloomed Sylvan,Whisker Woods Rift  String,6.13%
Centaur Ranger,Whisker Woods Rift,Magical String,Magical String,,,,,1.01%,3936,Centaur Ranger,Whisker Woods Rift  String,1.01%
Cherry Sprite,Whisker Woods Rift,Magical String,Magical String,,,,,1.43%,5565,Cherry Sprite,Whisker Woods Rift  String,1.43%
Cranky Caterpillar,Whisker Woods Rift,Magical String,Magical String,,,,,6.03%,23500,Cranky Caterpillar,Whisker Woods Rift  String,6.03%
Crazed Goblin,Whisker Woods Rift,Magical String,Magical String,,,,,6.18%,24078,Crazed Goblin,Whisker Woods Rift  String,6.18%
Cyclops Barbarian,Whisker Woods Rift,Magical String,Magical String,,,,,1.01%,3953,Cyclops Barbarian,Whisker Woods Rift  String,1.01%
Fungal Frog,Whisker Woods Rift,Magical String,Magical String,,,,,6.08%,23672,Fungal Frog,Whisker Woods Rift  String,6.08%
Gilded Leaf,Whisker Woods Rift,Magical String,Magical String,,,,,5.93%,23094,Gilded Leaf,Whisker Woods Rift  Magical String,5.93%
Grizzled Silth,Whisker Woods Rift,Magical String,Magical String,,,,,1.36%,5290,Grizzled Silth,Whisker Woods Rift  String,1.36%
Karmachameleon,Whisker Woods Rift,Magical String,Magical String,,,,,6.08%,23701,Karmachameleon,Whisker Woods Rift  String,6.08%
Medicine,Whisker Woods Rift,Magical String,Magical String,,,,,3.42%,13321,Medicine,Whisker Woods Rift  String,3.42%
Monstrous Black Widow,Whisker Woods Rift,Magical String,Magical String,,,,,0.00%,1,Monstrous Black Widow,Whisker Woods Rift  String,0.00%
Mossy Moosker,Whisker Woods Rift,Magical String,Magical String,,,,,6.12%,23836,Mossy Moosker,Whisker Woods Rift  String,6.12%
Naturalist,Whisker Woods Rift,Magical String,Magical String,,,,,1.34%,5232,Naturalist,Whisker Woods Rift  String,1.34%
Nomadic Warrior,Whisker Woods Rift,Magical String,Magical String,,,,,3.64%,14193,Nomadic Warrior,Whisker Woods Rift  String,3.64%
Red Coat Bear,Whisker Woods Rift,Magical String,Magical String,,,,,3.67%,14293,Red Coat Bear,Whisker Woods Rift  String,3.67%
Red-Eyed Watcher Owl,Whisker Woods Rift,Magical String,Magical String,,,,,3.52%,13723,Red-Eyed Watcher Owl,Whisker Woods Rift  String,3.52%
Rift Tiger,Whisker Woods Rift,Magical String,Magical String,,,,,3.64%,14195,Rift Tiger,Whisker Woods Rift  String,3.64%
Spirit Fox,Whisker Woods Rift,Magical String,Magical String,,,,,3.51%,13694,Spirit Fox,Whisker Woods Rift  String,3.51%
Spirit of Balance,Whisker Woods Rift,Magical String,Magical String,,,,,6.11%,23793,Spirit of Balance,Whisker Woods Rift  String,6.11%
Treant Queen,Whisker Woods Rift,Magical String,Magical String,,,,,3.49%,13613,Treant Queen,Whisker Woods Rift  String,3.49%
Tree Troll,Whisker Woods Rift,Magical String,Magical String,,,,,3.51%,13679,Tree Troll,Whisker Woods Rift  String,3.51%
Tri-dra,Whisker Woods Rift,Magical String,Magical String,,,,,1.06%,4144,Tri-dra,Whisker Woods Rift  String,1.06%
Twisted Treant,Whisker Woods Rift,Magical String,Magical String,,,,,6.19%,24102,Twisted Treant,Whisker Woods Rift  String,6.19%
Water Sprite,Whisker Woods Rift,Magical String,Magical String,,,,,6.09%,23729,Water Sprite,Whisker Woods Rift  String,6.09%
Winged Harpy,Whisker Woods Rift,Magical String,Magical String,,,,,3.44%,13396,Winged Harpy,Whisker Woods Rift  String,3.44%
Bloomed Sylvan,Whisker Woods Rift,Brie String,Brie String,,,,,7.98%,49021,,,
Centaur Ranger,Whisker Woods Rift,Brie String,Brie String,,,,,0.83%,5105,,,
Cherry Sprite,Whisker Woods Rift,Brie String,Brie String,,,,,0.35%,2179,,,
Cranky Caterpillar,Whisker Woods Rift,Brie String,Brie String,,,,,8.04%,49417,,,
Crazed Goblin,Whisker Woods Rift,Brie String,Brie String,,,,,8.10%,49778,,,
Cyclops Barbarian,Whisker Woods Rift,Brie String,Brie String,,,,,0.74%,4540,,,
Fungal Frog,Whisker Woods Rift,Brie String,Brie String,,,,,8.08%,49653,,,
Grizzled Silth,Whisker Woods Rift,Brie String,Brie String,,,,,0.32%,1945,,,
Karmachameleon,Whisker Woods Rift,Brie String,Brie String,,,,,8.08%,49629,,,
Medicine,Whisker Woods Rift,Brie String,Brie String,,,,,2.65%,16283,,,
Monstrous Black Widow,Whisker Woods Rift,Brie String,Brie String,,,,,0.00%,1,,,
Mossy Moosker,Whisker Woods Rift,Brie String,Brie String,,,,,8.01%,49200,,,
Naturalist,Whisker Woods Rift,Brie String,Brie String,,,,,0.30%,1849,,,
Nomadic Warrior,Whisker Woods Rift,Brie String,Brie String,,,,,2.97%,18264,,,
Red Coat Bear,Whisker Woods Rift,Brie String,Brie String,,,,,2.93%,17981,,,
Red-Eyed Watcher Owl,Whisker Woods Rift,Brie String,Brie String,,,,,2.42%,14876,,,
Rift Tiger,Whisker Woods Rift,Brie String,Brie String,,,,,2.90%,17842,,,
Spirit Fox,Whisker Woods Rift,Brie String,Brie String,,,,,2.43%,14902,,,
Spirit of Balance,Whisker Woods Rift,Brie String,Brie String,,,,,8.11%,49841,,,
Treant Queen,Whisker Woods Rift,Brie String,Brie String,,,,,2.46%,15125,,,
Tree Troll,Whisker Woods Rift,Brie String,Brie String,,,,,2.65%,16301,,,
Tri-dra,Whisker Woods Rift,Brie String,Brie String,,,,,0.82%,5037,,,
Twisted Treant,Whisker Woods Rift,Brie String,Brie String,,,,,8.10%,49775,,,
Water Sprite,Whisker Woods Rift,Brie String,Brie String,,,,,8.05%,49437,,,
Winged Harpy,Whisker Woods Rift,Brie String,Brie String,,,,,2.67%,16419,,,
Bloomed Sylvan,Whisker Woods Rift,Swiss String,Swiss String,,,,,7.96%,4153,,,
Centaur Ranger,Whisker Woods Rift,Swiss String,Swiss String,,,,,0.93%,483,,,
Cherry Sprite,Whisker Woods Rift,Swiss String,Swiss String,,,,,0.34%,178,,,
Cranky Caterpillar,Whisker Woods Rift,Swiss String,Swiss String,,,,,7.92%,4132,,,
Crazed Goblin,Whisker Woods Rift,Swiss String,Swiss String,,,,,8.04%,4195,,,
Cyclops Barbarian,Whisker Woods Rift,Swiss String,Swiss String,,,,,0.61%,319,,,
Fungal Frog,Whisker Woods Rift,Swiss String,Swiss String,,,,,8.17%,4266,,,
Grizzled Silth,Whisker Woods Rift,Swiss String,Swiss String,,,,,0.33%,170,,,
Karmachameleon,Whisker Woods Rift,Swiss String,Swiss String,,,,,8.26%,4311,,,
Medicine,Whisker Woods Rift,Swiss String,Swiss String,,,,,2.74%,1429,,,
Monstrous Black Widow,Whisker Woods Rift,Swiss String,Swiss String,,,,,0.00%,1,,,
Mossy Moosker,Whisker Woods Rift,Swiss String,Swiss String,,,,,7.97%,4157,,,
Naturalist,Whisker Woods Rift,Swiss String,Swiss String,,,,,0.28%,146,,,
Nomadic Warrior,Whisker Woods Rift,Swiss String,Swiss String,,,,,3.07%,1602,,,
Red Coat Bear,Whisker Woods Rift,Swiss String,Swiss String,,,,,2.95%,1542,,,
Red-Eyed Watcher Owl,Whisker Woods Rift,Swiss String,Swiss String,,,,,2.22%,1158,,,
Rift Tiger,Whisker Woods Rift,Swiss String,Swiss String,,,,,2.88%,1505,,,
Spirit Fox,Whisker Woods Rift,Swiss String,Swiss String,,,,,2.32%,1213,,,
Spirit of Balance,Whisker Woods Rift,Swiss String,Swiss String,,,,,8.33%,4350,,,
Treant Queen,Whisker Woods Rift,Swiss String,Swiss String,,,,,2.06%,1076,,,
Tree Troll,Whisker Woods Rift,Swiss String,Swiss String,,,,,2.69%,1403,,,
Tri-dra,Whisker Woods Rift,Swiss String,Swiss String,,,,,0.84%,438,,,
Twisted Treant,Whisker Woods Rift,Swiss String,Swiss String,,,,,8.29%,4327,,,
Water Sprite,Whisker Woods Rift,Swiss String,Swiss String,,,,,8.05%,4202,,,
Winged Harpy,Whisker Woods Rift,Swiss String,Swiss String,,,,,2.75%,1434,,,
Bloomed Sylvan,Whisker Woods Rift,Marble String,Marble String,,,,,6.84%,72,,,
Centaur Ranger,Whisker Woods Rift,Marble String,Marble String,,,,,0.76%,8,,,
Cherry Sprite,Whisker Woods Rift,Marble String,Marble String,,,,,0.19%,2,,,
Cranky Caterpillar,Whisker Woods Rift,Marble String,Marble String,,,,,8.64%,91,,,
Crazed Goblin,Whisker Woods Rift,Marble String,Marble String,,,,,9.69%,102,,,
Cyclops Barbarian,Whisker Woods Rift,Marble String,Marble String,,,,,1.52%,16,,,
Fungal Frog,Whisker Woods Rift,Marble String,Marble String,,,,,8.64%,91,,,
Grizzled Silth,Whisker Woods Rift,Marble String,Marble String,,,,,0.57%,6,,,
Karmachameleon,Whisker Woods Rift,Marble String,Marble String,,,,,7.98%,84,,,
Medicine,Whisker Woods Rift,Marble String,Marble String,,,,,2.94%,31,,,
Monstrous Black Widow,Whisker Woods Rift,Marble String,Marble String,,,,,0.09%,1,,,
Mossy Moosker,Whisker Woods Rift,Marble String,Marble String,,,,,8.55%,90,,,
Naturalist,Whisker Woods Rift,Marble String,Marble String,,,,,0.38%,4,,,
Nomadic Warrior,Whisker Woods Rift,Marble String,Marble String,,,,,2.18%,23,,,
Red Coat Bear,Whisker Woods Rift,Marble String,Marble String,,,,,2.47%,26,,,
Red-Eyed Watcher Owl,Whisker Woods Rift,Marble String,Marble String,,,,,3.04%,32,,,
Rift Tiger,Whisker Woods Rift,Marble String,Marble String,,,,,3.13%,33,,,
Spirit Fox,Whisker Woods Rift,Marble String,Marble String,,,,,2.94%,31,,,
Spirit of Balance,Whisker Woods Rift,Marble String,Marble String,,,,,7.60%,80,,,
Treant Queen,Whisker Woods Rift,Marble String,Marble String,,,,,2.28%,24,,,
Tree Troll,Whisker Woods Rift,Marble String,Marble String,,,,,2.28%,24,,,
Tri-dra,Whisker Woods Rift,Marble String,Marble String,,,,,0.85%,9,,,
Twisted Treant,Whisker Woods Rift,Marble String,Marble String,,,,,7.12%,75,,,
Water Sprite,Whisker Woods Rift,Marble String,Marble String,,,,,7.79%,82,,,
Winged Harpy,Whisker Woods Rift,Marble String,Marble String,,,,,1.52%,16,,,
Spud,Windmill,Gouda/Brie,,,,,,13.47%,622,Spud,Windmill      ,13.47%
Pugilist,Windmill,Gouda/Brie,,,,,,12.56%,580,Pugilist,Windmill      ,12.56%
